review_priority,priority_score,review_reason,related_exam_count,mapping_id,subject,grade_band,domain_code_2015,domain_code_2022,change_type,similarity,code_2015,text_2015,source_2015,page_2015,code_2022,text_2022,source_2022,page_2022,review_required
high,18,"교과가중치 5; 학년군가중치 3; 변화유형가중치 4; 임용형 키워드 전기, 회로, 탐구, 실천, 생활; 관련 기출 1개; 자동 추정 대응",1,MAP-NEW-6과15-04,과학,5-6,,15,new_or_unmatched,0.0,,,,,6과15-04,[6과15-04] 전기를 효율적이고 안전하게 사용하는 방법을 조사하여 실천 계획을 세우고 일상생활에서 실천할 수 있다. <탐구 활동> • 전구에 불이 켜지는 전기 회로와 불이 켜지지 않는 전기 회로 비교하기 • 전지 한 개를 연결한 전기 회로와 전지 두 개를 직렬연결한 전기 회로에서 전구의 밝기 비교하기 • 전자석의 성질을 영구 자석과 비교하여 탐색하기 (가) 성취기준 해설 •,[별책9] 과학과 교육과정.pdf,44,True
medium,16,"교과가중치 5; 학년군가중치 2; 변화유형가중치 4; 임용형 키워드 분수, 평가, 생활, 표현; 관련 기출 1개; 자동 추정 대응",1,MAP-2수05-03-REMOVED,수학,1-2,05,,removed_or_unmatched,0.0,2수05-03,"[2수05-03]분류한 자료를 ○, ×, ／ 등을 이용하여 그래프로 나타내고, 그래프로 나타내면 편리한 점을 말할 수 있다.(가) 학습 요소•표, 그래프(나) 교수･학습 방법 및 유의 사항•분류하기에서는 학생들이 실생활에서 친근하게 느낄 수 있는 소재를 활용한다. •기준을 정하여 분류할 때 학생들이 정한 다양한 기준을 존중하되, 분명하지 않은 기준일 경우에는 분류하는 것이 어려움을 인식하게 한다. •표를 만들 때 자료가 중복되거나 빠지지 않도록 세어보는 방법을 함께 지도한다. •표와 그래프로 나타내기는 생활 주변에 있는 자료들을 활용하되, 그 기준이 분명하고 간단한 것을 다룬다. •자료와 가능성 영역의 문제 상황에 적합한 문제 해결 전략을 지도하여 문제 해결 능력을 기르게 한다. (다) 평가 방법 및 유의 사항•분류하기를 평가할 때 학생들의 수준에 비해 어려운 분류 대상이나 분류 기준을 사용하지 않는다.[초등학교 3∼4학년](1) 수와 연산수는 사물의 개수나 양을 나타내기 위해 발생하였다. 수 세기를 통해 도입된 자연수는 큰 수로 범위가 확장되며 자연수에 대한 사칙계산이 정의된다. 자연수로 나타낼 수 없는 양을 표현하기 위해 수 개념은 분수, 소수로 확장되고 각각에 대한 덧셈과 뺄셈이 정의된다. 수는 수학에서 다루는 가장 기본적",2015개정 교육과정 수학과 (PDF).pdf,18,,,,,True
medium,15,"교과가중치 5; 학년군가중치 3; 변화유형가중치 4; 임용형 키워드 탐구, 실천, 생활; 자동 추정 대응",0,MAP-NEW-6과08-03,과학,5-6,,08,new_or_unmatched,0.0,,,,,6과08-03,"[6과08-03] 자원과 에너지의 효율적인 이용 방법에 대해 탐색하고 , 생활 속에서 실천할 수 있는 다 양한 사례를 공유할 수 있다. <탐구 활동> • 효율적으로 에너지를 이용하는 집 모형의 효과 탐구하기 (가) 성취기준 해설 •",[별책9] 과학과 교육과정.pdf,38,True
medium,15,"교과가중치 5; 학년군가중치 3; 변화유형가중치 4; 임용형 키워드 전기, 회로; 관련 기출 1개; 자동 추정 대응",1,MAP-NEW-6과15-01,과학,5-6,,15,new_or_unmatched,0.0,,,,,6과15-01,"[6과15-01] 전지와 전구, 전선을 연결하여 전구에 불을 켜보고, 불이 켜지는 전기 회로의 특징을 말 할 수 있다.",[별책9] 과학과 교육과정.pdf,44,True
medium,15,"교과가중치 4; 학년군가중치 2; 변화유형가중치 4; 임용형 키워드 토의, 평가, 과정, 실천, 지역; 자동 추정 대응",0,MAP-2바06-02-REMOVED,통합교과,1-2,06,,removed_or_unmatched,0.0,2바06-02,"[2바06-02] 추수하는 사람들의 수고에 감사하는 태도를 기른다 . (가) 학습 요소 • 공공 규칙, 타인 배려, 추수하는 사람들에 대한 감사 (나) 교수･학습 방법 및 유의 사항 ① 가을 운동회, 전시회, 체험학습 등 가을 행사에 참여한 경험(유치원 혹은 1학년 등)을 이야기해 보고, 학생들이 지켜야 할 규칙을 토의하여 체크리스트나 팝업 책자로 만들어 본다. ② 사람들이 많이 모이는 가을철 지역 사회 행사 등에 직접 참여할 수 있는 다양한 체험 기회를 제 공하고, 학생들이 공공장소에서 지켜야 할 예절과 규칙을 실천하도록 사전에 지도한다. ③ 가을에 볼 수 있는 여러 가지 열매와 곡식이 여러 과정과 많은 사람들의 노력을 통해 우리에게 전달된다는 점에 중점을 두어, 추수하는 사람들의 모습이 담긴 사진이나 동영상 자료를 활용하여 추수하는 과정에 대하여 이해하고 감사하는 태도를 기르도록 지도한다. (다) 평가 방법 및 유의 사항 ① 교내 행사에서 지켜야 할 예절이나 규칙을 자기 평가, 동료 평가 등에 포함시켜 꾸준히 누가 기 9","별책15_바른 생활, 슬기로운 생활, 즐거운 생활 교육과정(초등통합)(제2015-74호) (1).pdf",15,,,,,True
medium,15,"교과가중치 4; 학년군가중치 2; 변화유형가중치 4; 임용형 키워드 소리, 평가, 감상, 표현, 경쟁; 자동 추정 대응",0,MAP-2즐06-04-REMOVED,통합교과,1-2,06,,removed_or_unmatched,0.0,2즐06-04,"[2즐06-04] 가을 낙엽, 열매 등을 소재로 다양하게 표현한다 . (가) 학습 요소 • 가을 느낌 표현, 가을 놀이, 민속놀이, 낙엽 및 열매 표현 (나) 교수･학습 방법 및 유의 사항 ① 가을 모습이나 가을의 아름다움에 대한 느낌 등을 다양하게 탐색 및 표현하고, 친구들과 활발하 게 소통하며 자신과 친구의 결과물을 공연, 전시, 감상한다. ② 민속놀이를 할 때 이기기 위한 경쟁보다는 함께 즐기는 분위기를 조성한다. ③ 민속놀이를 할 때 학생들의 수준을 고려하여 다양하게 변형하여 지도할 수 있다. 정확한 동작보 다는 전통 춤의 흥겨움을 충분히 느낄 수 있도록 하고, 장단을 쉽게 변형하여 전통 음악의 흥겨 움을 느낄 수 있도록 지도할 수 있다. ④ 협력학습, 모둠학습 등을 활용하여 실제 춤과 놀이에 적극적으로 참여하도록 지도한다. ⑤ 소리, 이미지(사진/그림), 동영상, 애니메이션, 인터넷, 컴퓨터, 태블릿 PC 등 다양한 정보 매체 자 료 및 기기를 활용할 수 있으며, 학생들의 흥미와 관심을 유도하는 교수･학습이 이루어지게 한다. (다) 평가 방법 및 유의 사항 ① 가을의 모습이나 느낌, 관련 소재들을 노래, 이미지, 움직임, 놀이 등 다양한 방법으로 표현할 수 있는지 평가한다. ② 민속놀이에 흥미를 느끼고 즐겨 참여하는지와 친구와 함께 협력하는지를 평가한다. 37","별책15_바른 생활, 슬기로운 생활, 즐거운 생활 교육과정(초등통합)(제2015-74호) (1).pdf",43,,,,,True
medium,15,"교과가중치 4; 학년군가중치 2; 변화유형가중치 4; 임용형 키워드 과정, 생활, 표현, 경쟁; 관련 기출 1개; 자동 추정 대응",1,MAP-2즐07-04-REMOVED,통합교과,1-2,07,,removed_or_unmatched,0.0,2즐07-04,"[2즐07-04] 다른 나라의 노래 , 춤, 놀이를 즐기고 그 느낌을 다양하게 표현한다 . (가) 학습 요소 • 우리나라의 상징 표현, 남북한의 놀이, 작품 전시･공연, 다른 나라의 노래, 춤, 놀이 (나) 교수･학습 방법 및 유의 사항 ① 우리나라를 상징하는 것들을 여러 가지 방법으로 표현하거나 남북한의 놀이를 하면서 자연스럽 게 나라를 사랑하는 마음도 함께 다질 수 있도록 지도한다. ② 책이나 사진, 영상 등을 보거나 경험을 들음으로써 여러 나라 사람들의 생활 모습을 탐색한 후 다양한 활동을 해 본다. ③ 작품을 전시하여 친구들과 함께 살펴보면서 사용한 재료와 표현상의 특징을 자유롭게 이야기 해 본다. ④ 남북한 놀이를 할 때 놀이 또는 신체 활동의 방법 및 규칙을 충분히 설명하고 경쟁보다는 서로를 배려하고 함께 어울리며 참여하는 데 주안점을 두고 지도한다. ⑤ 다른 나라의 문화를 표현하는 과정에서 다른 문화에 대해 존중하는 마음을 가지도록 지도한다. ⑥ 이 영역(대주제)에서 다루는 다른 나라는 학생들의 관심사를 반영하여 선정하도록 하고, 그 나라 의 문화에 대해 이해할 수 있도록 한다. 38","별책15_바른 생활, 슬기로운 생활, 즐거운 생활 교육과정(초등통합)(제2015-74호) (1).pdf",44,,,,,True
medium,14,"교과가중치 5; 학년군가중치 2; 변화유형가중치 4; 임용형 키워드 토의, 생활; 관련 기출 1개; 자동 추정 대응",1,MAP-NEW-4과08-01,과학,3-4,,08,new_or_unmatched,0.0,,,,,4과08-01,"[4과08-01] 생활 속 감염병의 사례를 알고, 다양한 질병과 그 위험성에 대해 토의할 수 있다 .",[별책9] 과학과 교육과정.pdf,24,True
medium,14,"교과가중치 5; 학년군가중치 2; 변화유형가중치 4; 임용형 키워드 전기, 탐구, 생활; 자동 추정 대응",0,MAP-NEW-4과09-03,과학,3-4,,09,new_or_unmatched,0.0,,,,,4과09-03,"[4과09-03] 자석을 이용하여 일상생활을 편리하게 하는 장치를 설계할 수 있다. <탐구 활동> • 자석의 극을 찾고 서로 같은 극과 다른 극을 가까이했을 때의 특징 비교하기 • 나침반과 자석을 가까이했을 때 나타나는 현상 관찰하기 (가) 성취기준 해설 • [4과09-01∼02] 자석과 물체, 자석과 자석 사이의 상호작용을 다루되, 자기장의 개념은 도입하지 않는다. (나) 성취기준 적용 시 고려 사항 • 초등학교 5∼6학년군 ‘전기의 이용’, 중학교 1∼3학년군 ‘전기와 자기’와 연계된다.",[별책9] 과학과 교육과정.pdf,25,True
medium,14,"교과가중치 5; 학년군가중치 3; 변화유형가중치 4; 임용형 키워드 전기, 평가; 자동 추정 대응",0,MAP-6과13-04-REMOVED,과학,5-6,13,,removed_or_unmatched,0.0,6과13-04,"[6과13-04] 전 자 석 을 만들어 영구 자 석 과 전 자 석 을 비 교 하고 일 상 생 활 에서 전 자 석 이 사 용 되 는 AS 조사 st 9° < 탐 구 활 동 > © 전 구 의 인걸 방 범 에 따른 밝기 비 교 하기 (가) 학습 요소 + (나) 성 취 기준 해설 © 과 1302 전 구 의 밝 기 를 비교할 때 전 류 나 전 압 의 크 기 를 비 교 하지 않고 관 점 에서 전구 의 연결 방 범 에 따라 에 니 지의 소 비 가 달라지는 것을 이 해 하도록 한다. © 과 1304 전 자 석 은 건 전 지 를 이 용 하 여 세 작 하도록 하며, 건 전 지 의 수 에 파파 전 자 식 의 ‘Ws 17 (다) 교 수 ㆍ 학습 방법 및 유의 사항 oo] 단 원 의 Lele Aye 지도 시 에 는 특히 전기 안 전 에 유 의 하도록 한다. ( 라 ) 평가 방법 및 유의 사항 (14) 계 절 의 변화 이 단 원 에서는 Adel) 따라 달라지는 자인 현 상 과 계절 빈 화 의 원 인 을 탐 구 한 으로써 자 인 의 빈 화 에 이 해 아미. Ae) 지구의 축 이 a 공 전화기 때문에 Peele",별책9_과학과 교육과정(제2015-74호).pdf,57,,,,,True
medium,14,"교과가중치 5; 학년군가중치 3; 변화유형가중치 4; 임용형 키워드 탐구, 생활; 자동 추정 대응",0,MAP-NEW-6과03-03,과학,5-6,,03,new_or_unmatched,0.0,,,,,6과03-03,[6과03-03] 일상생활에서 용액이 쓰이는 사례를 조사하여 용액의 필요성을 알리는 자료를 만들고 공 유 할 수 있 다. <탐구 활동> • 용해 전과 후의 무게 측정하기 • 물에 녹는 용질의 양에 영향을 미치는 요인 탐구하기 • 진하기가 다른 용액에서 물체의 뜨는 정도 비교하기 (가) 성취기준 해설 •,[별책9] 과학과 교육과정.pdf,33,True
medium,14,"교과가중치 5; 학년군가중치 3; 변화유형가중치 4; 임용형 키워드 탐구, 생활; 자동 추정 대응",0,MAP-NEW-6과07-04,과학,5-6,,07,new_or_unmatched,0.0,,,,,6과07-04,"[6과07-04] 일상생활에서 단열을 이용하는 사례를 조사하고, 온도를 오랫동안 일정하게 유지할 수 있는 장치를 창의적으로 만들 수 있다. <탐구 활동> • 온도가 다른 두 물체가 접촉할 때 두 물체의 온도 변화 측정하기 • 열이 이동하는 여러 방식의 특징 비교하기 (가) 성취기준 해설 •",[별책9] 과학과 교육과정.pdf,37,True
medium,14,"교과가중치 5; 학년군가중치 3; 변화유형가중치 4; 임용형 키워드 과정, 탐구; 자동 추정 대응",0,MAP-NEW-6과14-04,과학,5-6,,14,new_or_unmatched,0.0,,,,,6과14-04,[6과14-04] 연소 과정에서 생성되는 물질로 인한 생태계의 피해 사례를 수집하고 분석하여 해결책을 제안하고 공유할 수 있다. <탐구 활동> • 서로 다른 물질을 섞었을 때 물질의 성질 변화 관찰하기 • 양초와 알코올이 탈 때 나타나는 공통적인 현상 관찰하기 • 연소 후 생성되는 물질 확인하는 실험하기 (가) 성취기준 해설 •,[별책9] 과학과 교육과정.pdf,43,True
medium,14,"교과가중치 4; 학년군가중치 3; 변화유형가중치 4; 임용형 키워드 읽기, 평가, 표현; 자동 추정 대응",0,MAP-NEW-6사10-02,사회,5-6,,10,new_or_unmatched,0.0,,,,,6사10-02,"[6사10-02]에서 본격적으로 학습하고, 여기서는 위도(저위도, 고위도, 중위도)에 따른 일사량의 차이(밤낮의 길이), 북반구와 남반구의 계절 차이 정도를 파악하도록 한다.•세계 여러 나라 중에서 국제적인 위상, 우리나라와의 관계 등을 고려하여 우리나라와 정치⋅경제⋅문화면에서 밀접한 관계를 맺고 있는 국가들을 사례로 선정할 수 있으며, 그 국가들의 위치와 영토를 파악하여 기초적인 지리 정보를 이해하도록 한다. •생소한 지명들을 열거하고 이를 암기하기보다는 세계의 대륙과 대양, 여러 국가 등을 다양한 공간 도구를 통해 파악하도록 하며, 이를 통해 다양한 지도 읽기, 위치 표현 방법 등의 도해력을 평가할 수 있다.(10) 세계의 자연환경",[별책7] 사회과 교육과정.pdf,42,True
