id,year,form,question,subject,score,pages,curriculum_mentions,achievement_codes,visual_references,needs_visual_context,text
2016-A-Q01,2016,A,1,국어,3,1,,,,False,"1. (가)는 최 교사가 6학년 ‘연설하기’ 수업에서 활용한 연설문이고,
(나)는 교수․학습 과정안의 일부이다. 물음에 답하시오. [3점]
(가) 연설문
여러분은 종이컵 1톤을 만드는 데 20년생 나무 20그루가
필요하다는 것을 알고 있습니까? 우리가 편리하게 사용하였던
일회용품이 지구를 병들게 하고 있습니다. 환경을 위하여 일회
용품 사용을 줄입시다.
…(중략)…
대부분의 일회용품은 오랫동안 썩지 않아 환경을 오염
시킵니다. ㉠혹시 종이컵이 땅속에서 썩는 데 얼마나 오랜
시간이 걸리는지 아십니까? 종이컵은 땅속에서 썩는 데 20년이
걸리고, 스타이로폼 도시락은 500년이 걸린다고 합니다.
…(하략)…
(나) 교수․학습 과정안
학습 목표 자신이 쓴 연설문을 바탕으로 하여 연설할 수 있다.
학습 내용 교수 ･ 학습 활동
연설문
쓰기
◦연설하고 싶은 주장을 정하여 쓸 내용을 떠올려
봅시다.
◦주장의 타당성을 생각하며 연설문을 써 봅시다.
연설을
위한
계획
세우기
◦연설할 때 주의할 점을 알아봅시다.
-표정, 몸짓, 목소리의 크기 등을 생각하며 말한다.
◦연설할 때 비언어적, 반언어적 표현을 어떻게 활용
할지 계획을 세워 봅시다.
연설하기
및
평가하기
◦연설 계획대로 친구들 앞에서 연설하여 봅시다.
◦친구들의 연설을 듣고 잘한 점과 부족한 점을 찾아
말하여 봅시다.
-연설을 듣고 주장의 타당성을 판단한다.
-연설하는 모습이 적절한지 판단한다.
1) 말하는이의 의도를 고려하여 (가)의 ㉠과 다음 대화 ⓐ의
차이점을 쓰시오. [1점]
A: 스타이로폼 도시락은 땅속에서 썩는 데 굉장히 오랜
시간이 걸린다고 하던데요.
B: 예, 그래요. 약 500년 정도 걸려요.
A: 그럼, ⓐ혹시 종이컵이 땅속에서 썩는 데 얼마나 오랜
시간이 걸리는지 아십니까?
B: 네. 종이컵은 땅속에서 썩는 데 약 20년 정도 걸립니다.
A: 아, 그렇군요.
∙
2) 다음은 최 교사가 수업 후 수석교사와 나눈 대화의 일부이다.
(나)를 참고하여 ⓑ와 ⓒ에 들어갈 용어를 쓰시오. [2점]
최교 사:‘ 연설하기’ 수업은 참 어려웠어요. 학생들이 연설을
듣고 주장의 타당성을 파악하지 못하고, 주장하는 내용을
확인하고 이해하는 수준에 머무르는 것 같아요.
수석교사: 아, 그러니까 학생들이 연설을 듣고 자신의 신념
이나 가치관에 따라 내용을 분석하고 판단하는 ( ⓑ )
듣기를 하지 못하고, 사실적 듣기나 추론적 듣기에 그쳤
다는 거네요. 연설을 듣기 전에 주장의 타당성을 판단
하는 기준을 미리 안내해 주었으면 좋았을 텐데요.
최교 사: 그걸 미처 생각하지 못했네요. 그런데 선생님, 연설
하는 모습을 보면서 순간적으로 비언어적 , 반언어적
표현을 포착하여 진단하고 조언하는 것도 쉬운 일이 아니
었어요. 좋은 방법이 없을까요?
수석교사: 선생님, ( ⓒ )을/를 써 보면 어떨까요? 이 방법은
다소 번거롭고 시간이 걸리지만, 연설하는 모습을 언제
든지 반복하여 보면서 학생들의 강점과 약점에 대한
다양한 정보를 제공해 줄 수 있어요.
∙ⓑ : ∙ⓒ :"
2016-A-Q02,2016,A,2,국어,4,"1,2",,,,False,"2. (가)는 4학년 국어 수업 자료이고, (나)는 민수의 중심 생각
찾기 과정을 사고 구술한 자료이다. (다)는 교사가 일반적인
중심 생각 찾기 과정에 비추어 민수의 사고 구술을 분석한 자료
이다. 물음에 답하시오. [4점]
(가) 수업 자료
본시 학습 목표
글을 읽고 중심 생각이 잘 드러나게 내용을 정리할 수 있다.
읽기 자료
이가 없는 동물
우리가 아는 동물은 대부분 이가 있다. 동물은 이로 먹이를
잡거나 씹어서 삼킨다. 그러나 이가 없는 동물도 많이 있다.
이가 없는 동물도 저마다 다른 방법으로 먹이를 먹는다.
부리를 이용하여 먹이를 먹는 동물이 있다. 독수리는 튼튼
하고 끝이 갈고리처럼 구부러진 부리로 먹이를 찢어 먹는다.
딱따구리는 가볍고 단단한 부리로 구멍을 파 나무에 숨어
있는 곤충을 잡아먹는다.
혀로 먹이를 잡거나 먹는 동물도 있다. 카멜레온은 곤봉처럼
생긴 아주 긴 혀를 총처럼 쏘아서 벌레를 잡아 삼킨다. 달팽
이는 치설이라고 하는, 강판처럼 거친 혀로 잎이나 꽃을 갉아
먹는다.
2016학년도 공립 초등학교 교사 임용후보자 선정경쟁시험
초등학교 교육과정 A
수험번호 : ( ) 성 명 : ( )
2교시 11문항 41점시 험 시 간 70분
입으로 먹이를 빨아들이거나 물과 함께 마시는 동물도
있다. 바다에 사는 해마는 기다란 주둥이 끝에 달린 진공
청소기처럼 생긴 긴 입으로 아주 작은 먹이를 빨아들인다.
흰긴수염고래와 같이 고래수염이 있는 고래들은 크릴새우를
바닷물과 함께 마신다.
(나) 민수의 중심 생각 찾기 사고 구술 자료
이 글에는 ‘이’, ‘없는’, ‘동물’, ‘먹이’, ‘먹는다’가 자주 나오
므로 이가 없는 동물의 먹이 먹는 것에 대하여 이야기하고
있다. 1문단은 ‘우리가 아는 동물은 대부분 이가 있다.’가 첫
문장이니까 중심 문장이고, 나머지 문장은 중심 문장을 보충
하는 문장이다. 중심 내용은 우리가 아는 동물은 대부분 이가
있다는 것이다. 2문단은 ‘부리를 이용하여 먹이를 먹는 동물이
있다.’가 첫 문장이니까 중심 문장이고, 뒤에 오는 두 문장은
부리를 이용하여 먹이를 먹는 동물의 예를 든 것이다. 따라서
중심 내용은 부리를 이용하여 먹이를 먹는 동물이 있다는
것이다. 같은 방법으로 살펴보면 3문단의 중심 내용은 혀로
먹이를 잡거나 먹는 동물도 있다는 것이고 , 4문단의 중심
내용은 입으로 먹이를 빨아들이거나 물과 함께 마시는 동물도
있다는 것이다. 이를 바탕으로 하여 중심 생각을 정리해 보면,
‘우리가 아는 동물은 대부분 이가 있고 부리로 먹는 동물도
있다. 그리고 혀로 잡거나 먹는 동물도 있고 , 입으로 빨아
들이거나 물과 함께 마시는 동물도 있다.’이다.
(다) 교사가 민수의 사고 구술을 분석한 자료
1) (나)를 참고하여 ㉠에 들어갈 활동을 쓰시오. [1점]
∙
2) (나)에 나타난 일반화 오류에 대한 지도 내용을 구체적으로
쓰시오. [1점]
∙
3) (나)를 참고하여 ①㉡에 들어갈 활동을 쓰고, ㉡을 고려하여
② (가)의 ‘읽기 자료’를 분석하시오. [2점]
∙①:
∙②:"
2016-A-Q03,2016,A,3,국어,4,"2,3",,,,False,"3. (가)는 6학년 국어 수업의 학습 목표와 제재 글이고, (나)는
수업 후 학생이 쓴 독서 감상문이다. 물음에 답하시오. [4점]
(가) 학습 목표와 제재 글
학습
목표
◦작품 속 말하는이가 누구인지 생각하며 이야기를
읽을 수 있다.
◦혼동되는 표기나 발음에 주의하며 독서 감상문을
쓸 수 있다.
제
재
글
…(상략)…
엄마는 화를 못 참겠는지 그만 내 등짝을 따갑
도록 착 때렸습니다. ㉠ 나는 할 말은 없었지만
“내만 그런 기 아인데 , 씨이. 그라고 감자하고
살구하고 같나, 씨이.”
이렇게 한번 투덜거려 보았습니다. 그랬더니
“호철이 이눔, 그래도 할 말은 있는 갑네! 어데
자꾸 구시렁대노!”
엄마는 이러며 내 등짝을 한 차례 더 착 때렸습
니다.
“우짜든지 장독이나 물어내게! 아이고, 살구나무를
뼛 뿌리든지 무슨 수를 내야지 장차 장독이 안
남아돌겠네!”
이러며 칠산 할매는 휭 가 버렸습니다.
이튿날, 뒤 뜸 칠산 할매가 우리 집을 또 찾아왔습니다.
“울미띠기 있는강?”
“아이고, 뒤 뜸 할매 오셨습니꺼? 안 그래도 장독을
하나 사 드리든지 돈으로 드리든지 해야 되는데 요새
돈이 ㉡씨가 말랐습니더
. 쬐끔만 더 기다려 주이소,
할매예.”
“이거나 받게. 살구를 다 땄뿌렸네.”
“아이고, 할매예, 장독 깬 것도 못 물어 줬는데 살구를
이래 많이 줍니꺼!”
“야, 이 사람아. 그때는 내가 성이 나가 할 소리 못 할
소리 막 했네. 아들이 살구가 오죽 먹고 싶으마 그랬
겠나.”
“아이고, 할매예! 죄송스러버서 우째꼬요?”
엄마는 미안해 어쩔 줄 몰라 했습니다.
나는 가슴을 쓸어내렸습니다. 뒤 뜸 할매가 사립문을
나서는 걸 보고
‘할매예, 고맙습니더. 할매예, 고맙습니더…….’
열 번도 더 되뇌었습니다. 그리고 마음으로 절도 열
번은 더 했지요.
[A]
(나) 학생의 독서 감상문
‘살구가 익을 무렵’을 읽고
…(중략)…
다음날 칠산 할머니는 살구를 들고 다시 찾아와 어제는
화가 많이 나서 그랬다며 장독을 안 물어 줘도 된다고 하셨다.
호철이는 ‘할매, 고마워요.’ 하며 마음으로 절을 열 번은 더
했다.
㉢호철이 엄마의 ‘돈이 씨가 말랐다.’라고 한 말이 재미있
었는데, 우리 할머니도 종종 그런 말씀을 하신다. 호철이가
자신의 잘못을 용서받은 후 마음속으로 열 번 절하는 부분이
인상 깊었다. 칠산 할머니를 생각하면 시골에 계신 우리 할머
니가 생각난다. 우리 할머니는 표현을 잘 하시지는 않지만,
정이 많은 분이시다. ‘할머니, 여름 방학에 뵈요.’ 여름 방학이
되면 아버지께 할머니 댁에 다녀오자고 해야겠다.
1) 다음은 교사가 ‘작품 속 말하는이’를 지도하기 위해 (가)의
[A] 부분을 바꾸어 쓴 글이다. (가)의 ㉠과 다음의 ⓐ가 각각
누구인지 쓰시오. [1점]
울미댁은 화를 못 참겠는지 호철이의 등짝을 착 때렸습니다.
호철이는
“내만 그런 기 아인데 , 씨이. 그라고 감자하고 살구하고
같나, 씨이.”
하고 투덜거렸습니다. 그러자
“호철이 이눔, 그래도 할 말은 있는 갑네! 어데 자꾸 구시
렁대노!”
울미댁은 그러며 호철이의 등짝을 한 차례 더 착 때렸습니다.
“우짜든지 장독이나 물어내게! 아이고, 살구나무를 뼛 뿌리
든지 무슨 수를 내야지 장차 장독이 안 남아돌겠네!”
그렇게 말하고, ⓐ나는 휭 나와 버렸습니다.
∙㉠ : ∙ⓐ :
2) 다음은 (가)의 ㉡과 같은 표현의 특성과 효과를 나타낸 것이다.
( )에 들어갈 말을 쓰시오. [1점]
( ) 표현은 두 개 이상의 단어가 모여서 새로운 의미를
드러내는 것으로, 작가는 이런 표현을 사용하여 작품을 더
재미있고 인상적으로 만든다. 이 작품에서는 (가)의 ㉡과 같은
표현을 통해 작품 속 인물의 표현 의도를 효과적으로 전달하고
독자의 흥미를 높여 준다고 볼 수 있다. 학생들은 (나)의 ㉢과
같이 실제 의사소통 상황에서 이러한 표현을 떠올려 봄으로써,
국어 문화의 특성을 이해하고 자신의 표현 의도를 다채롭게
드러낼 수 있다.
∙
3) (나)에서 ①틀린 표기 사례를 찾아 쓰고, 이 학생에게 올바른
표기를 지도하기 위하여 교사가 알아야 할 ② 표기 원리를
쓰시오. (단, 띄어쓰기와 문장 부호 제외) [2점]
∙①:
∙②:"
2016-A-Q04,2016,A,4,수학,4,3,2009,,,False,"4. 다음은 소수 지도에 관하여 교사들이 나눈 대화의 일부이다.
물음에 답하시오. [4점]
최 교사 : 오늘은 소수 지도에 관해 논의해 보겠습니다.
송 교사 : 학생들은 분수에 비해 소수를 쉽게 이해하는 것
같습니다. 소수의 표현 원리가 ㉠자연수의 표현 원리
와 동일하기 때문이겠지요?
김 교사 : 그렇긴 하지만, 예컨대 207이 27보다 크기 때문에
2.07이 2.7보다 크다고 생각하는 학생들이 있습니다.
송 교사 : 그런 학생들을 위해 저는 수 모형을 사용합니다.
㉡ 수 모형은 소수점의 위치를 고려하여 소수의
크기를 비교하도록 지도하는 데에 효과적으로
사용될 수 있습니다. 소수점의 위치는 소수의 곱셈
에서도 중요하지요.
김 교사: 소수의 곱셈 알고리즘은 자연수의 곱셈 알고리즘을
적용할 수 있어서 학생들이 관계적 이해보다 도구적
이해를 하는 것 같습니다.
최 교사 : 그래서 저는 ㉢소수 곱셈의 계산 원리를 충분한
시간을 두고 지도합니다. 계산 연습을 시킬 때에도
계산상의 실수나 오류를 스스로 파악할 수 있도록
계산 전에 계산 결과를 어림해 보도록 합니다.
1) 다음은 2009 개정 수학과 교육과정의 1～2학년군 ‘수와 연산’
영역의 학습내용 성취 기준의 일부이다. ㉠과 관련하여 ⓐ와 ⓑ에
들어갈 말을 각각 쓰시오. [2점]
□1 네 자리 이하의 수
① 0과 100까지의 수 개념을 이해하고, 수를 세고 읽고 쓸
수 있다.
② 일, 십, 백, 천의 ( ⓐ )와/과 ( ⓑ )을/를 이해
하고, 네 자리 이하의 수를 읽고 쓸 수 있다.
∙ⓐ : ∙ⓑ :
2) ㉡과 관련하여 다음 수 모형에서 A를 1로 하고, A, B, C를
사용하여 2.07과 2.7의 크기를 비교하시오. [1점]
ABC
∙
3) 학생들이 관계적 이해를 할 수 있도록 ㉢을 설명하시오. [1점]
∙"
2016-A-Q05,2016,A,5,수학,4,4,2009,,,False,"5. (가)는 ○○초등학교에서 발행하는 학교 신문 기사의 일부이고,
(나)는 학생 기자들의 기획 회의에서 이루어진 대화의 일부이다.
물음에 답하시오. [4점]
(가)
○○ 초등학교 신문 제12호
수학이 좋아졌어요!
우리 학교에서는 3월과 9월 두 차례에 걸쳐 6학년 학생을
대상으로 수학 선호도를 조사하였습니다. 3월에는 210명,
9월에는 200명이 응답하였습니다. 조사 결과, 여름에 있었던
‘수학체험전’ 영향인지 수학을 좋아하는 학생이 많아진 것으로
나타났습니다. 수학을 ‘매우 좋아한다’ 또는 ‘약간 좋아한다’고
답한 학생 수가 3월에는 응답자의 50%였는데, 9월에 큰
변화가 나타났습니다.
<우리 학교 학생들의 수학 선호도 변화>
…(중략)…
다음은 이 기사에 대한 퀴즈입니다. 정답을 보내주신 분께는
추첨을 통해 선물을 드리겠습니다.
<퀴즈>
㉠ 3월에 수학을 ‘매우 좋아한다’고 답한 학생 수에 대한
9월에 ‘매우 좋아한다’고 답한 학생 수의 비는 얼마입니까?
(나)
학생 A: 지난 호에 실었던 수학 선호도 변화에 대한 기사는
반응이 아주 좋았습니다.
학생 B: <퀴즈>도 호응이 좋았습니다. 응모자의 80%인 60명
이나 정답을 맞혔지요.
학생 C: 추첨을 통해 정답자의 
 에게 선물을 증정했으니
㉡응모자에 대한 당첨자의 비율이 
 이네요.
…(중략)…
학생 B: 다음 호는 연말 특집호입니다. 지금까지 그림그래프와
비율그래프를 사용했으니 이번에는 다른 그래프를
사용하여 기사를 작성해 보죠.
학생 D: 우리 학교 학생들이 좋아하는 운동, 연예인, 간식
등을 조사하고, ( ㉢ )을/를 그려 비교해 볼까요?
학생 C: 지난 20년 동안의 미세먼지 농도, 동해의 수온 등을
조사하고, ( ㉣ )을/를 그려 환경의 변화 추이를
살펴보는 것도 재미있을 것 같습니다.
학생 A: 둘 다 좋은 의견입니다. 두 모둠으로 나누어 진행
하죠.
1) (가)의 신문 기사에는 비율과 그래프라는 수학적 수단이
실생활 자료의 수집, 분류․정리, 해석, 판단에 사용되고 있다.
이와 같이 수학은 경제, 경영, 행정 등 여러 분야에서 쓰이고,
과학과 기술의 발달로 그 가치가 더욱 증대되고 있다. 이를
지칭하는 수학의 가치를 쓰시오. [1점]
∙
2) ㉠의 올바른 답을 구하고, ㉡이 틀린 이유를 쓰시오. [2점]
∙㉠ :
∙㉡ :
3) 통계 자료를 그래프로 나타낼 때에는 조사한 자료의 특성
또는 목적에 따라 적절한 그래프를 선택하여야 한다. (나)의
대화를 참고하여 2009 개정 수학과 교육과정 초등학교급에서
다루는 그래프 중 ㉢과 ㉣에 알맞은 그래프의 이름을 각각
쓰시오. [1점]
∙㉢ :
∙㉣ :"
2016-A-Q06,2016,A,6,수학,3,"4,5",2009,,,False,"6. (가)는 2009 개정 수학과 교육과정에 제시된 ‘평면도형의 넓이’
내용의 흐름을 박 교사가 그림으로 나타낸 것의 일부이고,
(나)는 박 교사의 ‘삼각형의 넓이’ 수업의 일부이다. 물음에 답하
시오. [3점]
(가)
(나)
박 교사 : 다음 표를 완성해 보세요.
도형 ㉮㉯㉰
밑변의 길이(cm)
높이(cm)
넓이(cm)
학생 : 똑같은 수가 계속 나와요. 신기해요.
박 교사 : 무엇을 알 수 있나요?
1) (나)의 활동은 (가)의 ㉠을 위하여 박 교사가 마련한 것이다.
㉠에 알맞은 말을 (나)에 있는 용어를 사용하여 쓰시오. [1점]
∙㉠ :
2) 박 교사는 (가)의 흐름을 고려하여 ㉡을 다양한 방법으로
지도하려고 한다. 마름모의 대각선의 길이를 각각 , 라 할 때,
마름모의 넓이를 구하는 과정이 드러날 수 있도록 아래
그림의 ⓐ에 알맞은 식을 쓰시오. [1점]
∙ⓐ :
3) 다음 그림은 넓이가 cm 인 정삼각형 13개를 사용하여 만든
것이다. 삼각형 ACE의 넓이를 구하시오. [1점]
∙ cm"
2016-A-Q07,2016,A,7,사회,4,"5,6",2009,,,False,"7. (가)는 2009 개정 사회과 교육과정의 목표를 도식화한 것이고,
(나)는 윤 교사가 ㉢을 기르기 위해 구상한 4학년 사회 ‘경제
생활과 바람직한 선택’ 수업의 개요이다. 물음에 답하시오. [4점]
(가) 사회과의 목표
(나) ㉢의 함양을 위한 수업의 개요
1) (가)의 ㉠에 들어갈 내용을 쓰고 , (나)를 통해 중점적으로
기르고자 하는 기능 영역의 목표 ㉢을 쓰시오. [2점]
∙㉠ :
∙㉢ :
2) (나)의 ㉣이 발생하는 이유를 설명하는 경제 용어를 쓰시오.
[1점]
∙
3) 윤 교사는 다음 차시 수업을 위해 아래 자료를 만들었다. 이
자료를 활용하여 윤 교사가 달성하고자 하는 수업의 목표를
㉡과 A를 포함하여 진술하시오. [1점]
( A )의 예 ( A )의 예 가 아 닌 것
∙농부가 대규모 농사를 짓는 것
∙제빵사가 빵을 만드는 것
∙의사가 환자를 치료하는 것
∙엄마가 시장에서 물건을 사는 것
∙학생이 주말에 자전거 타는 것
∙가족들이 함께 공연 보는 것
∙"
2016-A-Q08,2016,A,8,사회,5,6,,,,False,"8. (가)는 현행 3～6학년 사회 교과서 단원의 주제 중 일부를 제시한
것이고, (나)는 D단원의 지도 학습 관련 자료이다. 물음에 답하
시오. [5점]
(가)
(나)
<지 도 의 기 본 요 소 이 해 하 기 >
<등 고 선 그 려 보 기 >
자료 2
1) ①( 가)의 A～D를 공간 규모에 따라 배열하고 , ② 이러한
배열에 가장 부합하는 사회과 내용 조직의 원리를 쓰시오.
[2점]
∙①:
∙②:
2) 자료 1 에서 확인되는 지도의 기본 요소 중 2가지만 쓰시오.
[1점]
∙
3) 자료 2 에서 20 m 등고선을 그릴 경우 , 그 모습에 가장
가까운 영어 알파벳을 쓰시오. [1점]
∙
4) (나)와 다음 글을 참고하여 ㉠을 쓰시오. [1점]
( ㉠ )은/는 ‘언어나 숫자로 전달할 수 없는 공간적인
정보와 아이디어를 다루는 의사소통 능력’(Balchin, 1972)으로
서 문해력, 구두 표현력, 수리력과 함께 인간의 4대 의사소통
방식 중 하나이다. 이와 관련하여 자료 1 은 공간적인 정보를
해석할 수 있는 능력, 자료 2 는 공간적인 정보를 변환 혹은
표현할 수 있는 능력을 기르는 데 초점을 두고 있다. 지도
학습은 ( ㉠ )을/를 기르는 데 중추적인 역할을 한다.
∙자료 1"
2016-A-Q09,2016,A,9,과학,4,7,,,,False,"9. (가)는 예비교사 A가 실시한 ‘열의 이동’에 대한 수업 개요이고,
(나)는 예비교사들이 협의한 내용이다. 물음에 답하시오. [4점]
(가) 수업 개요
학습
목표
온도가 다른 두 물질이 접촉하면 온도가 높은 물질에서
온도가 낮은 물질로 열이 이동함을 이해할 수 있다.
도입
◦ 예상하기
- 찬 물이 담긴 플라스크를 따뜻한 물이 담긴 비커에
넣으면, 두 물의 온도는 어떻게 될까?
전개
◦준비물
찬 물(10℃) 100 mL, 따뜻한 물(40℃) 200 mL,
플라스크, 비커, 알코올 온도계 2개, 스탠드, 실,
집게 잡이, 초시계
◦실험 과정
① 찬 물이 담긴 플라스크를 따뜻한 물이 담긴 비커에
넣는다.
② 온도계 두 개를 플라스크와 비커의 물에 각각 넣는다.
③ 두 물의 처음 온도를 측정하고, 1분 간격으로 10분
동안 측정한 온도를 표에 기록한다.
④ 찬 물과 따뜻한 물의 온도가 어떻게 변하였는지
알아본다.
정리
◦정리하기
-실험 결과: ㉠찬 물은 온도가 높아지고 따뜻한 물은
온도가 낮아져서 두 물의 온도가 같아진다.
- 결론 : ㉡ 열은 온도가 높은 물질에서 낮은 물질로
이동한다.
(나) 협의 내용
예비교사 A: 수업에 대한 질문이 있으면 말씀해 주십시오.
예비교사 B: 찬 물과 따뜻한 물의 양이 다르기 때문에 학생
들에게 두 물을 접촉시켰을 때 온도를 예상
하게 하는 활동은 적절하지 않다고 생각합니다.
예비교사 A: 저는 생각이 다릅니다. 이전 시간에 따뜻한 물의
양이 많으면 양이 적을 때보다 천천히 식는다는
것을 공부하였기 때문에 ㉢ 10℃ 물 100 mL와
40℃ 물 200mL를 접촉시키면 중간 온도인 25℃
보다 온도가 낮다고 예상할 수 있습니다.
예비교사 C: 실험 과정의 ①과 달리, 비어 있는 비커에 찬 물이
담긴 플라스크를 먼저 넣은 후 따뜻한 물을
비커에 부으면 어떨까요?
예비교사 A: ㉣그렇게 하면 비커에 물을 붓는 동안 따뜻한
물의 온도가 금방 낮아질 수 있으므로 실험
과정에 제시된 방법대로 하는 것이 더 좋습니다.
예비교사 B: 1 0분이 지나도 찬 물과 따뜻한 물의 온도가
같아지지 않았던 모둠이 있었습니다.
예비교사 A: 그런 모둠이 있었나요? 두 물의 온도 변화를
통하여 결국 온도가 같아짐을 예상하도록 하거나,
㉤관찰 시간을 좀 더 늘려서 온도 변화를 알아
보도록 하면 될 것 같습니다.
예비교사 C: 그리고 찬 물질과 따뜻한 물질이 접촉하면 두
물질의 온도가 같아지는 이유를 질문하는 학생이
있었습니다. 이때 ㉥찬 물질의 냉기가 따뜻한
물질로 이동하기 때문이라고 설명해주면 어떨
까요?
1) (가)의 정리 단계에서 실험 결과 ㉠으로부터 결론 ㉡을 이끌어
내기 위하여 학생들이 사용해야 하는 주요한 ⓐ 기초 탐구
기능이 무엇인지 쓰고, ⓑ그렇게 쓴 이유를 ‘온도’와 ‘열’ 개념과
관련지어 설명하시오. [2점]
∙ⓐ :
∙ⓑ :
2) (나)의 ㉢～㉥ 중 타당하지 않은 것 2가지를 찾아 기호를 쓰고,
각각 바르게 고치시오. [2점]
∙
∙"
2016-A-Q10,2016,A,10,과학,5,8,,,,False,"10. (가)는 과학 개념을 이용한 글쓰기 수업에서 제시한 <쓰기
과제>와 <학생의 글>이고, (나)는 <학생의 글>에 대하여 지도
교사와 예비교사가 협의한 내용이다. 물음에 답하시오. [5점]
(가) 과학 글쓰기
<쓰기 과제>
내가 바다의 물이라고 생각하고, 바다에서 출발하여 하늘의
구름이 되고 다시 바다로 돌아오기까지 물이 거치는 과정을
재미있는 글로 써 봅시다.
<학생의 글>
(나) 협의 내용
지도교사: 학생들이 쓴 글을 통하여 교사는 학생들이 개념을
이해하는 데 어떤 어려움이 있는지 파악할 수 있습
니다. 그리고 학생들의 글에 들어 있는 개념과 관련
지어 이후의 수업을 계획할 수도 있습니다.
예비교사: 학생의 글에서 초록 잎 속에 살던 친구가 하늘로
올라가는 것은 증산 작용을 표현한 것으로 보입
니다. ㉢증산 작용은 공변세포 두 개 사이의 구멍인
기공을 통하여 물 분자가 빠져 나가는 현상인데,
현미경으로 기공을 직접 관찰할 수 있습니다. 교수․
학습 과정안을 작성하기 전에 대략적인 수업 과정을
다음과 같이 정리해 보았습니다. 선생님께서 검토해
주시겠습니까?
[수업 과정]
① 교과서에 있는 공변세포와 기공의 모양을 학생들에게
설명한다.
② 설명이 끝난 후, 실험 순서를 소개한다.
③ 제시한 실험 순서에 따라 닭의장풀 잎의 영구 표본을
현미경으로 관찰하도록 한다.
④ 관찰한 공변세포와 기공의 모양이 교과서와 같은지
확인하도록 한다.
1) (가)의 ㉠에 표현된 내용에서 과학적 오류가 무엇인지 쓰고,
㉡에서 바다 표면의 수증기가 하늘 위로 올라가서 구름이
되는 과정을 과학적으로 설명하시오. [2점]
∙㉠ :
∙㉡ :
2) (나)의 ㉢에서 ⓐ주위 표피 세포와 달리 공변세포에만 있는
세포 소기관이 무엇인지 쓰고, ⓑ여름의 숲 속이 증산 작용에
의하여 시원하게 느껴지는 이유를 물의 상태 변화와 관련하여
설명하시오. [2점]
∙ⓐ :
∙ⓑ :
3) (나)의 [수업 과정]에서 실험이 사용된 방식은 학생의 능동적인
과학 지식 구성에 적합하지 않다. 그 이유를 설명하시오. [1점]
∙"
